KODE_JENIS_PELAPOR|KODE_PELAPOR|BULAN_DATA|NOMOR_CIF_LAMA_DEBITUR|NOMOR_CIF_DEBITUR|JENIS_IDENTITAS|NOMOR_IDENTITAS|NAMA_SESUAI_IDENTITAS|NAMA_LENGKAP|KODE_STATUS_PENDIDIKAN_ATAU_GELAR_DEBITUR|JENIS_KELAMIN|TEMPAT_LAHIR|TANGGAL_LAHIR|NAMA_GADIS_IBU_KANDUNG|NPWP|ALAMAT|KELURAHAN|KECAMATAN|KODE_KABUPATEN_ATAU_KOTA|KODE_POS|NOMOR_TELEPON|NOMOR_TELEPON_SELULER|ALAMAT_E-MAIL|KODE_NEGARA_DOMISILI|KODE_PEKERJAAN|TEMPAT_BEKERJA|KODE_BIDANG_USAHA_TEMPAT_KERJA|ALAMAT_TEMPAT_BEKERJA|KODE_GOLONGAN_DEBITUR|STATUS_PERKAWINAN_DEBITUR|KODE_KANTOR_CABANG|OPERASI_DATA|STATUS_DELETE|CREATE_DATE|UPDATE_DATE
0101|022|201803||03976443163524411070|1|0000016972486882127119947|Else Eichmann|Else Eichmann|04|P|Kab. Pontianak|19670406|Darren Konopelski|0000004022478332731704654|Jalan Dummy Slik 1972 No. 9047334235 Kab. Pontianak|Kelurahan Dummy 2078|Kecamatan Dummy 920|5302|88274|231137006|41988956444|zoey@reichert.info|ID|022|Fisher Inc and Sons|361000|377 Wuckert Courts|9000|2|266|C|T|20180731145354|
0101|022|201803||03382348598228589487|1|0000002473268816380767084|Madie Wilderman|Madie Wilderman|04|P|Kab. Pontianak|19801013|Otto Vandervort|0000013519749735718733912|Jalan Dummy Slik 692 No. 5286457476 Kab. Pontianak|Kelurahan Dummy 329|Kecamatan Dummy 1365|5302|10980|272015676|35029941854|emerald_heaney@cronabahringer.biz|ID|022|Tromp Group|361000|11847 Esmeralda Summit|9000|3|266|C|T|20180731145354|
0101|022|201803||00602343512947189766|1|0000006970882061129071210|Estell Hoeger|Estell Hoeger|04|P|Kab. Pontianak|19630628|Oliver King|0000007632800449488629351|Jalan Dummy Slik 2755 No. 8756987917 Kab. Pontianak|Kelurahan Dummy 403|Kecamatan Dummy 2616|5302|19236|145099132|82182195638|alaina.bogisich@lynchgottlieb.biz|ID|022|Blick-Lebsack|361000|48481 Leola Divide|9000|2|266|C|T|20180731145354|
0101|022|201803||09802588911085080329|1|0000003842063852983875369|Osvaldo Leannon|Osvaldo Leannon|04|P|Kab. Pontianak|19600316|Arlene Wuckert|0000003884618424912361085|Jalan Dummy Slik 1202 No. 7120372288 Kab. Pontianak|Kelurahan Dummy 393|Kecamatan Dummy 2798|5302|11254|260306791|82566553586|jerod.hartmann@mckenzie.com|ID|022|Schmeler, Collins and Wolf|361000|647 Kuphal Manor|9000|3|266|C|T|20180731145354|
0101|022|201803||09095742003380815781|1|0000002352804563651274288|Albin Windler|Albin Windler|04|P|Kab. Pontianak|19930425|Fidel Grady|0000010357496128279760527|Jalan Dummy Slik 1594 No. 72385563 Kab. Pontianak|Kelurahan Dummy 577|Kecamatan Dummy 2420|5302|46994|209383484|8459185130|dorris@stantonterry.us|ID|022|Kunze, Wintheiser and Brekke|361000|45620 Heidenreich Junction|9000|3|266|C|T|20180731145354|
0101|022|201803||17845956851273653662|1|0000006637912134809431093|Jaquelin Dibbert|Jaquelin Dibbert|04|P|Kab. Pontianak|19411019|Tate Gislason|0000011104195700113288499|Jalan Dummy Slik 2439 No. 7252071917 Kab. Pontianak|Kelurahan Dummy 826|Kecamatan Dummy 80|5302|11176|288013852|73326768054|golda@bernhard.name|ID|022|Connelly, Sanford and Beahan|361000|05048 Friesen Port|9000|2|266|C|T|20180731145354|
0101|022|201803||02210544192611444169|1|0000006039868596439062013|Drew Goyette|Drew Goyette|04|P|Kab. Pontianak|19740504|Brady Harris|0000015505334122683298088|Jalan Dummy Slik 2450 No. 4112201330 Kab. Pontianak|Kelurahan Dummy 2862|Kecamatan Dummy 886|5302|8520|73899026|22392859226|crystel@ortiz.info|ID|022|Hessel Inc and Sons|361000|6108 Millie Mews|9000|2|266|C|T|20180731145354|
0101|022|201803||05319745274664379515|1|0000017738379285921515784|Ima Gusikowski|Ima Gusikowski|04|P|Kab. Pontianak|19720706|Kaya Franecki|0000010137141254908812321|Jalan Dummy Slik 1558 No. 561119529 Kab. Pontianak|Kelurahan Dummy 623|Kecamatan Dummy 1605|5302|92467|279827140|34542303405|ismael_ziemann@daniel.name|ID|022|Miller Group|361000|88413 Alyson Squares|9000|2|266|C|T|20180731145354|
0101|022|201803||03380091131782854036|1|0000000343064726666215605|Ofelia Carroll|Ofelia Carroll|04|P|Kab. Pontianak|19710915|Elda Connelly|0000014667892501464058071|Jalan Dummy Slik 1165 No. 1646544218 Kab. Pontianak|Kelurahan Dummy 1394|Kecamatan Dummy 1899|5302|36928|190614366|60120797282|florence@hermann.info|ID|022|Quitzon, Terry and Auer|361000|638 Vesta Shoal|9000|2|266|C|T|20180731145354|
0101|022|201803||10468808059021093710|1|0000009455173668355202152|Willy Larson|Willy Larson|04|P|Kab. Pontianak|19340526|Lori Lebsack|0000009309543045638732074|Jalan Dummy Slik 473 No. 2745798474 Kab. Pontianak|Kelurahan Dummy 856|Kecamatan Dummy 884|5302|55916|42900080|83079586798|branson@hermanbogisich.co.uk|ID|022|Parisian LLC|361000|526 Alvena Mills|9000|2|266|C|T|20180731145354|
0101|022|201803||00146416351211178611|1|0000001558983731096854412|Vesta Dickinson|Vesta Dickinson|04|P|Kab. Pontianak|19511110|Fabian Rolfson|0000007893502833299936622|Jalan Dummy Slik 1412 No. 6330097111 Kab. Pontianak|Kelurahan Dummy 352|Kecamatan Dummy 1419|5302|9577|293975004|31627749579|ima@aufderhar.biz|ID|022|Dickinson-Hackett|361000|346 Quinten Flats|9000|1|266|C|T|20180731145354|
0101|022|201803||15191360968045568643|1|0000010945157435887844488|Martin Murphy|Martin Murphy|04|P|Kab. Pontianak|19361125|Clint Kshlerin|0000008093798710244241273|Jalan Dummy Slik 2989 No. 4748650643 Kab. Pontianak|Kelurahan Dummy 1324|Kecamatan Dummy 2682|5302|97101|166199379|65041374367|dulce.volkman@dicki.com|ID|022|Hane Inc and Sons|361000|56323 Jayson Hill|9000|1|266|C|T|20180731145354|
0101|022|201803||13912934889755712455|1|0000016347536029498547816|Gladyce Blanda|Gladyce Blanda|99|P|Kab. Mimika|19860318|Cecil Effertz|0000006730173313002727451|Jalan Dummy Slik 562 No. 3002563586 Kab. Mimika|Kelurahan Dummy 1739|Kecamatan Dummy 2819|8217|85117|73873783|53472715926|ernesto_hackett@kuvalis.ca|ID|035|Schiller-Ratke|552009|0223 Kub Groves|9000|3|694|C|T|20180731145354|
0101|033|201803||02367557498788223074|1|0000006156347103751453267|Andrew Schmidt|Andrew Schmidt|99|P|Kab. Mimika|19620912|Kara Thiel|0000013089685319829662453|Jalan Dummy Slik 1566 No. 5342635221 Kab. Mimika|Kelurahan Dummy 723|Kecamatan Dummy 189|8217|17213|114306790|79630744243|bernita@fahey.com|ID|035|Doyle Group|552009|6751 Christian Streets|9000|3|694|C|T|20180731145354|
0101|033|201803||11552806017025279782|1|0000017567048603385803267|Jacques Trantow|Jacques Trantow|99|P|Kab. Mimika|19340626|Ola Howe|0000003518501421042894834|Jalan Dummy Slik 697 No. 3101945093 Kab. Mimika|Kelurahan Dummy 1707|Kecamatan Dummy 1273|8217|54048|277038973|73462279937|john_wisoky@breitenberg.info|ID|035|Tremblay Group|552009|53440 Kunze Meadows|9000|1|694|C|T|20180731145354|
0101|033|201803||01553880134094408592|1|0000007045271376431272466|Sigmund Murphy|Sigmund Murphy|99|P|Kab. Mimika|19840227|Lindsey Cassin|0000013152866613463984636|Jalan Dummy Slik 1214 No. 8237032218 Kab. Mimika|Kelurahan Dummy 996|Kecamatan Dummy 1573|8217|70319|34345594|77813640915|juston@sengerspencer.us|ID|035|Brekke-Rogahn|552009|1314 Wilderman Summit|9000|1|694|C|T|20180731145354|
0101|033|201803||02191025662553037056|1|0000013318758945255418799|Lupe Bins|Lupe Bins|99|P|Kab. Mimika|19660817|Candice Ondricka|0000015805244743439182850|Jalan Dummy Slik 2877 No. 3213848799 Kab. Mimika|Kelurahan Dummy 1001|Kecamatan Dummy 2642|8217|93199|78435371|14459956422|enoch.mccullough@hermiston.us|ID|035|Thompson Inc and Sons|552009|24183 Elna |9000|2|694|C|T|20180731145354|
0101|033|201803||04781709677434535425|1|0000008647202896144556522|Alexanne Abernathy|Alexanne Abernathy|99|P|Kab. Mimika|19560718|Chet Parisian|0000004661795881146597366|Jalan Dummy Slik 980 No. 3503930356 Kab. Mimika|Kelurahan Dummy 2840|Kecamatan Dummy 931|8217|51640|55919174|39263107036|gerda.von@wunschlowe.name|ID|035|Watsica-Corwin|552009|30500 Greenfelder Summit|9000|2|694|C|T|20180731145354|
0101|033|201803||08860612534026068888|1|0000010842747700819324302|Nickolas Mayer|Nickolas Mayer|99|P|Kab. Mimika|19540602|Billy Daugherty|0000011860531357260214393|Jalan Dummy Slik 411 No. 235421742 Kab. Mimika|Kelurahan Dummy 1687|Kecamatan Dummy 775|8217|49461|44911890|85585793705|aurelia@feeney.us|ID|035|Turcotte, Kuhlman and Witting|552009|7451 Stacy Shoal|9000|2|694|C|T|20180731145354|
0101|033|201803||14782462483558277158|1|0000008967912196682217870|Cornell Becker|Cornell Becker|99|P|Kab. Mimika|19420129|Devin Stamm|0000008472294981800534179|Jalan Dummy Slik 1008 No. 7969633418 Kab. Mimika|Kelurahan Dummy 488|Kecamatan Dummy 2989|8217|13725|131441840|72482397066|aiden@howe.ca|ID|035|Schowalter, Wisoky and Ritchie|552009|377 Nadia Grove|9000|3|694|C|T|20180731145354|
0101|033|201803||05608289719962368365|1|0000009470167780849916531|Fidel Schmidt|Fidel Schmidt|99|P|Kab. Mimika|19570321|Emmet Osinski|0000001814109870094731280|Jalan Dummy Slik 1297 No. 3629624324 Kab. Mimika|Kelurahan Dummy 1613|Kecamatan Dummy 395|8217|1962|214638608|19590846914|dora_goldner@durgan.name|ID|035|Denesik, Sipes and Bogisich|552009|26116 Torrance Run|9000|2|694|C|T|20180731145354|
0101|033|201803||13652217392466564728|1|0000009868092248889181309|Madelyn Adams|Madelyn Adams|99|P|Kab. Mimika|19340104|Braeden Christiansen|0000007422116366518677533|Jalan Dummy Slik 448 No. 6912418765 Kab. Mimika|Kelurahan Dummy 2659|Kecamatan Dummy 1396|8217|77212|200109961|28471810619|donato@hills.uk|ID|035|Jacobi-Barton|552009|706 Esperanza Pines|9000|1|694|C|T|20180731145354|
0101|033|201803||11928388059141224314|1|0000015737021791799052721|Telly Bednar|Telly Bednar|99|P|Kab. Mimika|19300804|Justina McClure|0000010000963284641798309|Jalan Dummy Slik 1334 No. 9423235835 Kab. Mimika|Kelurahan Dummy 59|Kecamatan Dummy 36|8217|92067|62799885|13801532761|ralph@brakus.com|ID|035|Gusikowski-Mosciski|552009|55435 Windler Radial|9000|1|694|C|T|20180731145354|
0101|033|201803||10174655292065119973|1|0000008272958468623701633|Nina Denesik|Nina Denesik|99|P|Kab. Mimika|19820501|Rhianna Gislason|0000000268270893817806305|Jalan Dummy Slik 2013 No. 6776044432 Kab. Mimika|Kelurahan Dummy 2783|Kecamatan Dummy 2884|8217|65030|59212751|42991299964|zula.green@vandervort.name|ID|035|Lockman-Crooks|552009|3861 Pagac Hollow|9000|1|694|C|T|20180731145354|
0101|033|201803||05371248487414518755|1|0000002918650938787536519|Vicenta Rodriguez|Vicenta Rodriguez|99|P|Kab. Mimika|19410124|Damian Nicolas|0000001202148507966149683|Jalan Dummy Slik 2634 No. 6086814849 Kab. Mimika|Kelurahan Dummy 2914|Kecamatan Dummy 1631|8217|91904|234990955|38223184969|freeman@keebler.name|ID|035|Tromp, Wunsch and Nader|552009|37645 Streich Forks|9000|1|694|C|T|20180731145354|
0101|033|201803||16933282874934549133|1|0000017973214698660940257|Prince Doyle|Prince Doyle|99|P|Kab. Mimika|19590312|Cordelia Hansen|0000015922872111585461113|Jalan Dummy Slik 252 No. 1850980303 Kab. Mimika|Kelurahan Dummy 958|Kecamatan Dummy 1371|8217|96407|213006087|85865519657|alene.schuppe@raugutmann.co.uk|ID|035|Kilback, Bode and Smith|552009|24705 Mueller Row|9000|3|694|C|T|20180731145354|
0101|033|201803||00835925899148198601|1|0000008679821083674578756|Emelia Kutch|Emelia Kutch|99|P|Kab. Mimika|19710325|Mario Hegmann|0000008329603443194001523|Jalan Dummy Slik 910 No. 5672451847 Kab. Mimika|Kelurahan Dummy 49|Kecamatan Dummy 2128|8217|32879|289603292|86519265902|colt@ondricka.co.uk|ID|035|Stanton LLC|552009|212 King Freeway|9000|1|694|C|T|20180731145354|
0101|033|201803||02708259479951197570|1|0000014583959845932651562|Kristofer Schaden|Kristofer Schaden|99|P|Kab. Mimika|19601026|Hector O'Keefe|0000005685655084919074903|Jalan Dummy Slik 2478 No. 1914110670 Kab. Mimika|Kelurahan Dummy 2591|Kecamatan Dummy 721|8217|85253|49049692|30372315169|jeffry_sipes@reillyjenkins.us|ID|035|Ratke Group|552009|15067 Brakus Union|9000|3|694|C|T|20180731145354|
0101|033|201803||02654960456286911358|1|0000005047175255559699773|Maritza Moore|Maritza Moore|99|P|Kab. Mimika|19790813|Romaine Reinger|0000006701326518375838417|Jalan Dummy Slik 1429 No. 1912825384 Kab. Mimika|Kelurahan Dummy 1551|Kecamatan Dummy 256|8217|65566|101251939|34458805844|craig.spinka@rennerraynor.us|ID|035|Okuneva, Rath and Gibson|552009|48073 Rogahn Mountain|9000|2|694|C|T|20180731145354|
0101|033|201803||11410933970523131111|1|0000015929673335611757191|Ottis Fahey|Ottis Fahey|99|P|Kab. Mimika|19540217|Destiney Cole|0000012109052305817115504|Jalan Dummy Slik 966 No. 7494261095 Kab. Mimika|Kelurahan Dummy 515|Kecamatan Dummy 2725|8217|28895|140710734|40335705484|mellie_runte@terry.biz|ID|035|West-Krajcik|552009|735 Shad Lakes|9000|2|694|C|T|20180731145354|
0101|033|201803||17032921482078658498|1|0000004895261495928752073|Earline Halvorson|Earline Halvorson|99|P|Kab. Mimika|19870401|Peter Ward|0000008004180467005784822|Jalan Dummy Slik 1071 No. 8357657556 Kab. Mimika|Kelurahan Dummy 545|Kecamatan Dummy 486|8217|57978|90723427|18784925799|cortez@roberts.uk|ID|035|McCullough Inc and Sons|552009|71656 Thea Springs|9000|1|694|C|T|20180731145354|
0101|033|201803||15514161180808601982|1|0000014528623171607394039|Presley Beatty|Presley Beatty|02|L|Kab. Pidie|19560407|Montana Williamson|0000018227778666895751681|Jalan Dummy Slik 1022 No. 717554624 Kab. Pidie|Kelurahan Dummy 892|Kecamatan Dummy 849|3203|79707|32092456|10615702312|winfield@willms.info|ID|011|Veum-Schultz|050220|206 Hegmann Forest|9000|2|217|C|T|20180731145354|
0101|012|201803||11207511893168726539|1|0000001389743988153562074|Skyla Koepp|Skyla Koepp|02|L|Kab. Pidie|19621101|Daisy Wilkinson|0000016546247653657567666|Jalan Dummy Slik 763 No. 7074922321 Kab. Pidie|Kelurahan Dummy 2455|Kecamatan Dummy 829|3203|57312|57953331|30917462995|jerad@lubowitz.ca|ID|011|Balistreri, Champlin and Hackett|050220|438 Shakira Mountains|9000|1|217|C|T|20180731145354|
0101|012|201803||10284575995047826907|1|0000010465036917663784430|Hertha Brown|Hertha Brown|02|L|Kab. Pidie|19350829|Ayana Prohaska|0000007331589385392351074|Jalan Dummy Slik 1310 No. 3349900313 Kab. Pidie|Kelurahan Dummy 646|Kecamatan Dummy 2897|3203|1958|232498168|11057165150|ashton_shanahan@gutkowskipfannerstill.co.uk|ID|011|Gibson Group|050220|1287 Ullrich Gateway|9000|3|217|C|T|20180731145354|
0101|012|201803||07111074488090321028|1|0000000623492640268606621|Marshall Brakus|Marshall Brakus|02|L|Kab. Pidie|19660521|Clovis Kulas|0000010149607410052365069|Jalan Dummy Slik 431 No. 2343227478 Kab. Pidie|Kelurahan Dummy 1883|Kecamatan Dummy 1414|3203|92903|287978472|72505972159|francisco_morar@walsh.co.uk|ID|011|Okuneva, Wunsch and Wintheiser|050220|0118 Kilback Hollow|9000|1|217|C|T|20180731145354|
0101|012|201803||17648318049901499890|1|0000014281346450213763220|Hortense Funk|Hortense Funk|02|L|Kab. Pidie|19340504|Aubree Macejkovic|0000001704731114476971569|Jalan Dummy Slik 2697 No. 4314041284 Kab. Pidie|Kelurahan Dummy 535|Kecamatan Dummy 1552|3203|80296|293409595|78519711196|reilly@effertz.co.uk|ID|011|Towne-Collier|050220|22528 Antonetta Square|9000|2|217|C|T|20180731145354|
0101|012|201803||11496809369684015799|1|0000016893169600294188309|Jadyn Weimann|Jadyn Weimann|02|L|Kab. Pidie|19730923|Florencio Kutch|0000014876942480214721996|Jalan Dummy Slik 2593 No. 6761780659 Kab. Pidie|Kelurahan Dummy 115|Kecamatan Dummy 257|3203|3977|99468876|30107661104|itzel@oharawest.name|ID|011|Gusikowski-Brekke|050220|85550 Braun Union|9000|1|217|C|T|20180731145354|
0101|012|201803||07963562467481590359|1|0000010361394051256161485|Payton Lowe|Payton Lowe|02|L|Kab. Pidie|19621015|Uriah Swift|0000006195713316847218128|Jalan Dummy Slik 2571 No. 9777675610 Kab. Pidie|Kelurahan Dummy 867|Kecamatan Dummy 1788|3203|10247|129898628|18373137717|demetris@zemlak.us|ID|011|Mraz-Rowe|050220|485 Marcelina Island|9000|2|217|C|T|20180731145354|
0101|012|201803||05862800124065678878|1|0000001706572559189910947|Pattie Ankunding|Pattie Ankunding|02|L|Kab. Pidie|19521228|Toy Auer|0000009891693349419922831|Jalan Dummy Slik 2830 No. 7415481166 Kab. Pidie|Kelurahan Dummy 2805|Kecamatan Dummy 2878|3203|26998|198453997|30190472837|brady.rice@hammes.ca|ID|011|Goodwin, Marvin and Goldner|050220|70337 Christine Expressway|9000|2|217|C|T|20180731145354|
0101|012|201803||04927021574428969391|1|0000008195468850492789590|Zula Collins|Zula Collins|02|L|Kab. Pidie|19700314|Weston Goyette|0000014383727416349225761|Jalan Dummy Slik 1628 No. 928850795 Kab. Pidie|Kelurahan Dummy 2103|Kecamatan Dummy 1622|3203|91696|76233140|60460950192|cassidy@rowe.name|ID|011|O'Kon Group|050220|6135 Wisoky Shoals|9000|1|217|C|T|20180731145354|
0101|012|201803||15725184079070899746|1|0000008389548430828095685|Christopher Huel|Christopher Huel|02|L|Kab. Pidie|19450226|Victoria Kertzmann|0000018446723410796763333|Jalan Dummy Slik 2440 No. 9312759688 Kab. Pidie|Kelurahan Dummy 1670|Kecamatan Dummy 1971|3203|72809|20790166|16752783003|henri_dietrich@mcdermott.us|ID|011|Price-Bauch|050220|506 Dicki Hollow|9000|2|217|C|T|20180731145354|
0101|012|201803||04405531692509901218|1|0000015986848781290072353|Dakota Hagenes|Dakota Hagenes|02|L|Kab. Pidie|19490207|Kole Rogahn|0000017443868187656591368|Jalan Dummy Slik 2304 No. 6611135120 Kab. Pidie|Kelurahan Dummy 1945|Kecamatan Dummy 1346|3203|93919|264071553|15871162272|devonte_feest@hilllwiegand.ca|ID|011|Osinski Inc and Sons|050220|44306 Afton Radial|9000|2|217|C|T|20180731145354|
0101|012|201803||11897862207356747480|1|0000017070988052283992010|Timmy Wiza|Timmy Wiza|02|L|Kab. Pidie|19810531|Anastasia Schulist|0000018306481395742437927|Jalan Dummy Slik 1155 No. 1820337439 Kab. Pidie|Kelurahan Dummy 2033|Kecamatan Dummy 1322|3203|71124|90369523|14856812906|edythe@hilpertemard.com|ID|011|Sporer-Steuber|050220|8516 Toby Valleys|9000|2|217|C|T|20180731145354|
0101|012|201803||05032964647122147147|1|0000000293813662511580433|Bailee Klein|Bailee Klein|02|L|Kab. Pidie|19591004|Lillian Barton|0000010604662861334289473|Jalan Dummy Slik 1775 No. 5406349583 Kab. Pidie|Kelurahan Dummy 294|Kecamatan Dummy 210|3203|24084|22606723|54400199462|liana.fritsch@wilkinson.name|ID|011|Mosciski LLC|050220|45823 Ebert Course|9000|2|217|C|T|20180731145354|
0101|012|201803||10704894349628103130|1|0000005898971145686758162|Felipe Rosenbaum|Felipe Rosenbaum|02|L|Kab. Pidie|19391008|Kelsi Lind|0000018126550124745450519|Jalan Dummy Slik 2810 No. 4055279915 Kab. Pidie|Kelurahan Dummy 2740|Kecamatan Dummy 2009|3203|67694|286126805|85882573572|florida@durganswift.ca|ID|011|Connelly Group|050220|27332 Jaime Prairie|9000|2|217|C|T|20180731145354|
0101|012|201803||01218639362095735788|1|0000007904961443146085627|Johann Padberg|Johann Padberg|02|L|Kab. Pidie|19580508|Santos Friesen|0000004996541177556505557|Jalan Dummy Slik 337 No. 8309563970 Kab. Pidie|Kelurahan Dummy 2851|Kecamatan Dummy 612|3203|25726|130284198|26669540374|lewis_schuster@reynolds.ca|ID|011|Emard, Little and Eichmann|050220|034 Armstrong Flats|9000|1|217|C|T|20180731145354|
