id	CIF	nomor_identitas	nama_sesuai_identitas	alamat
54	CUST000054	4716350372213130	Rina Yance Uyainah	Dk. Labu No. 171, Medan Sumatera Utara
55	CUST000055	5577991734992030	Ami Rachel Wulandari	Gang Sugiyopranoto No. 78, Pontianak 38059, Kalimantan Barat
56	CUST000056		Rudi Baktianto Prakasa M.Ak	Ds. Pahlawan No. 110, Prabumulih 56896, JaTeng
57	CUST000057	5433267102432260	Rendy Perdana	Jln. Mulyadi No. 430, Merauke 48881, Papua
58	CUST000058	4532181623081990	Candra Yusup Suryaya	Psr. Jamika No. 878, Batam 30046, Riau
59	CUST000059	4081427725150560	Gawati Wijayanti	Psr. Tubagus Ismail No. 119, Tanjung Pinang 47202, Maluku
60	CUST000060	5514151401442140	Viki Hamima	Gg. Panjaitan No. 273, Tigaraksa 74832, Banten
61	CUST000061	6011019242787170	Lily Astuti	Jln. Panjaitan No. 382, Malang 63501, JaTim
62	CUST000062	4024007158395410	Kamal Permadi	Jln. W.R. Supratman No. 954, Probolinggo 23015, Jatim
63	CUST000063	5385764714795100	Kencono	Jl. Dr Wahidin Sudirohusodo 48-A RT 019/06 Yogyakarta
64	CUST000064	5214145029625140	Vivi Hastuti	Jln. Lada No. 965, Depok 35298, JaBar
65	CUST000065	5256915995406940	Zalindra Pertiwi	Psr. Babah No. 588, Jakarta Timur
66	CUST000066	4716350372213130	Rina Yance Uyainah	Dk. Labu No. 171, Medan Sumatera Utara
67	CUST000067	6011068935379450	Elisa Prastuti	Kpg. Suprapto No. 60, Tidore Kepulauan 33603, Maluku Utara
68	CUST000068	4916064078185380	Eriati	Jl. Imogiri Timur Km.12,8 Puton, Trimulyo, Jetis Yogyakarta
69	CUST000069	4024007158395410	Kamal Permadi	Jln. W.R. Supratman No. 954, Probolinggo 23015
70	CUST000070	4716557588698410	Ony Dina P	Basoka Raya No. 111, Bogor  Jabar
71	CUST000071	4916357989617910	Gumelar	Jl. Raya Imogiri timur km 10 Yogyakarta
72	CUST000072	5277074386112010		Jr. Baiduri No. 801, Singkawang 57908, DIY
73	CUST000073	4716694992580370	Bala Winarno S.H.	Abdul Muis No. 558, Pontianak  Kalimantan Barat
74	CUST000074	5272108387968490	Jaka Natsir Langgeng	Kampung Radio no 348 Tanjungbalai Sumatra Utara
75	CUST000075	5557286897432380	Mursita Surya Irawan	Jln. R.M. Said No. 980, Pangkal Pinang 64241, SumBar
76	CUST000076	5252399824747090	Budi Napi Tupulu	Pasar Gading No. 904, Sukabumi Banten
77	CUST000077	4897655778500980	Bayuputra	Gambiran UH 5 No 359 Yogyakarta Yogyakarta
78	CUST000078	4024007177917710	Sabri Pangestu	Kpg. Agus Salim No. 527, Padang 86753, Sum Bar
79	CUST000079	5180118689798680	Rahayu Oliva Handayani	Ds. Badak No. 359, Madiun, Jatim
80	CUST000080	5381356793479630	Qori Mulyani	Luwu No. 577, Palopo 15116, Sulawesi Selatan
81	CUST000081	4024007111906230	Paulin T Yuliarti S.Psi	Pasar Arifin Nomor 432, Banjarbaru 26800, KalTim
82	CUST000082	5364642336259190	Elis Haryanti	Dk. Nanas No. 870, Cimahi 65113, Jabar
83	CUST000083	4916497755002750	Eko Gantar Maryadi S.Ked	Ki. Ciumbuleuit No. 278, Bandung
84	CUST000084	5256915995406940	Zalindra Pertiwi	Psr. Babah No. 588, Jakarta Timur
85	CUST000085	5433267102432260	Rendy Perdana	Jln. Mulyadi No. 430, Merauke 48881, Papua
86	CUST000086	5277074386112010	Cawuk Saputra M.TI.	
87	CUST000087	6011010135093160	Clara Diana Prastuti S.IP	Gang Salak No. 482, Tidore Kepulauan 25388, Malut
88	CUST000088	5285750027210280	Cindy Vanesa A., M.Pd	Ki. Sukajadi 428, Padangpanjang 14663, Sumatera Barat
89	CUST000089	4556836399004430	Septi Humaira Hartati M.M.	Ki. Suniaraja No. 768, Gunungsitoli 76050, Sumut
90	CUST000090	5561292889969060	Rizki Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
91	CUST000091	5475021535727150	Rachel Andriani	Pasuruan, Desa Ekonomi RT 2 RW 8 Nomor 210 Jawatimur
92	CUST000092	5209894339757050	Bahu Warna Wahendra	Rajawali No. 179, Pematangsiantar  Sumatera utara
93	CUST000093	5372185148217940	Fitria Sudiati S.IP	Banten, Serang - Ahmad Yani nomor 734
94	CUST000094		Diana Andriani	Jr. Abdullah No. 234, Denpasar 25791, Bali
95	CUST000095		Elisa Prastuti	Kpg. Suprapto No. 60, Tidore Kepulauan 33603, Maluku Utara
96	CUST000096	5475021535727150	Andriani Rachel	Pasuruan, Desa Ekonomi RT 2 RW 8 Nomor 210 Jawatimur
97	CUST000097	5109434287663230	Kadir Rajasa	Desa Sentot Alibasa No. 92, Banjarmasin Kalimantan Selatan
98	CUST000098	5114882255280530	Opung Mansur M.M.	Ki. R.E. Martadinata No. 391, Kendari 55051, DIY
99	CUST000099	4485297842393740	Usman Habibi	
100	CUST000100	4567052743194440	Jessica Purnawati M.Ak	Psr. Radio No. 450, Malang
101	CUST000101	52295271207648O0	Cahya Putu Setiawan S.I.Kom	Dk. Simpang Tujuh No. 157, Prabumulih 81021, Sumatra Selatan
102	CUST000102	4024007182053110	Hadi Natsir	Kepulauan Riau, Batam - Lumban Tobing 732
103	CUST000103	6011245588527180	Oni Nurdiyanti	Jln. Bakin No. 915, Sawahlunto 40018, SumBar
104	CUST000104	4556085568899390	Nadya Lintang Agustin	Sawahlunto
105	CUST000105	4024006192275820	Sari Hastuti S.Psi	Psr. Labu No. 889, Medan 63889, Sumut
106	CUST000106	4716834641345900	Abbi	Jalan Wahidin 966 RT 8 RW 9 Jogjakarta
107	CUST000107	5200650193764610	Novia Yuliarti	
108	CUST000108	4716694992580370	Bala Winarno S.H.	Abdul Muis No. 558, Pontianak  Kalimantan Barat
109	CUST000109	5400476050223110	Elvin Kardi Prasetya M.Ak	Gang Sutoyo Bandar Lampung 927
110	CUST000110	5124860017913840	Milla Pujiati	Laswi 353 RT 7 RW 8, Tangerang Selatan 15338 Banten
111	CUST000111	5250538521391670	Hari Dirdja Wibisana	Jln. Cokroaminoto No. 649, Bitung 91110, Banten
112	CUST000112	5242241754031350	Siti Nurdiyanti	Jr. Baing No. 9, Tasikmalaya Jawa Barat
113	CUST000113	5124567316757880		Ds. Sutami No. 67, Sungai Penuh 75979, Bali
114	CUST000114	5507201437748440	Sabrina Handayani	
115	CUST000115	5567152854342660	Hilda Puspa	Jalan Wahidin No. 743, Langsa 87211, Aceh
116	CUST000116	5336688906202920	Napitupulu Dodo	Gg. Jayawijaya No. 460, Osua 32020, Papua
117	CUST000117	55245872984064OO	Radika H Ramadhan	Jr. Yap Tjwan Bing No. 525, Tanjung Pinang 90972, Kep Riau
118	CUST000118	4916138049100240	Gumelar	Jalan Cemara No.28 A Randubelang, Sewon Yogyakarta
119	CUST000119	4567052743194440	Jessica Purnawati M.Ak	Psr. Radio No. 450, Malang
120	CUST000120	4916357989617910	Gumilar	Jalan Imogiri timur Kilometer 10 Yogyakarta
121	CUST000121	4929954485070080	Unjani Pudjiastuti	Jln. Sukajadi No. 311, Makassar
122	CUST000122	4916858561143200	Tania Hafshah Utami	Kpg. K.H. Wahid Hasyim (Kopo) No. 601, Magelang 93204, Jateng
123	CUST000123	5567152854342660	Puspasari Hilda	Jl. Wahidin No. 743, Langsa 87211, Aceh
124	CUST000124	4485024556028240	Nadia Yuniar S.IP	Desa Bata Putih No. 986, Kupang, Gorontalo
125	CUST000125	5128376927778700	Opan Hutasoit	Kpg. Babakan No. 999, Malang
126	CUST000126	4916440997787310	Junaedi 	Jln. Cikapayang No. 658, Yogyakarta 69067, Aceh
127	CUST000127	5332639317878030	Luwes Rusman Hutasoit	 Basuki Nomor 348, Dumai 85252, Jambi
128	CUST000128	5576923751427170	Genta Uyainah S.Gz	Jln. Mochammad Yamin No. 128, Medan 78777, Sumatera Utara
129	CUST000129	4539604112909270	Prasetya Mulyana	Diponegoro No. 171, Probolinggo 57006, Jawa Timur
130	CUST000130	5295994750697000	Eka Pradana	Kpg. Madiun No. 67, Administrasi Jakarta Pusat
131	CUST000131	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
132	CUST000132	5270204851583120	Pranawa Pradana	Dk. Flores No. 350, Jambi 
133	CUST000133	448587294808402o	Aisyah Wulandari	Psr. Bakin No. 518, Bogor 41216, BaBel
134	CUST000134	5428748540753890	Dinda Padma Hastuti	Cikutra Barat No. 598, Langsa, Aceh
135	CUST000135	5467715091864550	Manah Zulkarnine	Jalan Baung No. 285, Langsa 85710, Aceh
136	CUST000136	5454836293205520	Tantri Genta Lailasari S.IP	Psr. Ketandan No. 648, Padangpanjang, SumBar
137	CUST000137	5455165793658810	Adi Situmorang	Jalan Basoka Raya No. 650, Cimahi 90847, Jawa Barat
138	CUST000138	54299693 53420090	Rendy Perdana	Ds. Labu No. 761, Sabang 89889, Aceh
139	CUST000139	5242155075234330	Prima Haryanto 	Psr. Cut Nyak Dien No. 872, Pangkal Pinang 56643, Bangka Belitung
140	CUST000140	5413664172544580	Tan Chung Pok	Ds. Baranang Siang Indah No. 327, Sungai Penuh 87511, Jambi
141	CUST000141	5588228266984940	Amelia Unjani Husada	Jln. Sugiono 914, Tangerang Banten
142	CUST000142	4485920695398470	Kemba Nainggolan Danu	Labu No. 442, Cirebon, JaBar
143	CUST000143	5531142200907990	Shania Pudjiastuti	Desa Bappenas No. 900, Banjar, Jawa Barat
144	CUST000144	4916662978148840	Najwa Widiastuti	 Moch. Toha No. 783, Pariaman 12736, Sumatra Barat
145	CUST000145	4539127383314490	Kadir Wibisono S.H.	Komp. Pondok Cilegon Indah B13/9 Banten
146	CUST000146	55779917349920OO	Ami Rachel Wulandari	Gang Sugiyopranoto No. 78, Pontianak 38059, Kalimantan Barat
147	CUST000147	4567052743194440	Jessica Purnawati M.Ak	Psr. Radio No. 450, Malang
148	CUST000148	5583362442103970	Hendra Prasetya S.Gz	Psr. Villa No. 361, Sorong, Papua Barat
149	CUST000149	4916400749404660	Jati	Jln Wates KM 3 Yogyakarta Yogyakarta
150	CUST000150	5364642336259190	Haryanti Ellis	Dk. Nanas No. 870, Cimahi 65113, Jabar
151	CUST000151	5173375698838020	Irma Zizi	Dk. Babakan No. 920, Bandung 33057, Jabar
152	CUST000152	5561292889969060	Rizki Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
153	CUST000153	491649775500276O	Eko Gantar Maryadi S.Ked	Ki. Ciumbuleuit No. 278, Bandung
154	CUST000154	5503747054623440	Yunni O.	Dk. Sutarjo No. 503, Batam 86824, Kepulauan Riau
155	CUST000155	5275721168073160	Tari Usada	Sumatera Barat, Ki Wahidin Sudirohusodo 62, Bukittinggi
156	CUST000156	5258132833092430	Henry Atmaja	Warung Buncit, Jalan Taman Marga satwa 12 Jak Sel
157	CUST000157	5214145029625140	Vivi C Hastuti	Jln. Lada No. 965, Depok 35298, JaBar
158	CUST000158	5512555832182850	Genta Husada	Kyai Haji Muwardi No. 962, Ambon  Maluku
159	CUST000159	4532762862978300	Vera Victoria Hartati P	Gang Kalimalang No 298 Cilegon, Banten
160	CUST000160	4O24OO713O73277O	Hesti Yulianti	Tubagus Ismail No. 295, Administrasi Jakarta Selatan
161	CUST000161	5479864287899780	Marsitto Firmansyah	Psr. Bahagia  No. 814, Samarinda 33039, Kalimantan Timur
162	CUST000162	5498382229499510	Salimah Pertiwi	Jl. Baan GH 2 No. 828, Malang Jawa Timur
163	CUST000163	4916064078185380	Eri	Jl. Imogiri Timur Km.12,8 Puton, Trimulyo, Jetis Yogyakarta
164	CUST000164	542996935342OO90	Rendy Perdana	Ds. Labu No. 761, Sabang 89889, Aceh
165	CUST000165	5502285300694270	Sakti Pradana	Jln. Jaya 753, Payakumbuh 54480, Sumatera Barat
166	CUST000166	5594655853652760	Lidya Nurdiyanti	Psr. Gremet 31, Padangpanjang 91131, Sumatera Barat
167	CUST000167	5512555832182850	Genta Husada	Jalan KH Muwardi  962, Ambon 92429, Maluku
168	CUST000168	5372185148217940	Fitria Sudiati S.IP	Serang Banten, Achmad yani 734
169	CUST000169	4916138049100240	Gumilar	Jl.Cemara No.28A Randubelang, Sewon Yogyakarta
170	CUST000170	6011160061976250	Soleh Santoso	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
171	CUST000171	5255753891363310	Oni Yulianti	Dk. Haji No. 480, Tangerang 36130, Banten
172	CUST000172	5156998675362530	Cahyadi Ganda Hutapea	Ds. Merdeka No. 587, Pontianak, Kalimantan Barat
173	CUST000173	55779917349920OO	Ami Rachel Wulandari	Gg. Sugiyopranoto No. 78, Pontianak 38059, Kalimantan Barat
174	CUST000174	5585234814101620	Cakrawala P.	Jln. Laksamana 590, Makassar, Sulawesi Selatan
175	CUST000175	KTP4539682500256130	Maya Andriani	Ki. Bara No. 898, Kediri
176	CUST000176	5353419476217720	Jasmin Suhartini	Psr. WR Supratman No. 23, Batam 27050, Kep Riau
177	CUST000177	5207983845051470	Samiah Rahayu	Ds. Padang No. 714, Cilegon 35940, Banten
178	CUST000178	5270204851583120	Pradana Pranawa	Dk. Flores No. 350, Jambi 
179	CUST000179	4929273745492110	Yolanda D	Jln. Sudirman No. 468, Payakumbuh 60901, BaBel
180	CUST000180	5114882255280530	Opung Mansur M.M.	Ki. R.E. Martadinata No. 391, Kendari 55051, DIY
181	CUST000181	4556042253011460	Mustika Wibowo	Pasar Honggowongso No. 650, Cimahi 14565, Gorontalo
182	CUST000182	5372185148217940	Fitria Sudiati S.IP	Dk. Achmad Yani No. 734, Serang, Banten
183	CUST000183	4929571257922850	Damu Manullang	Jr. Bahagia  No. 990, Pangkal Pinang 72880, Ba Bel
184	CUST000184	5512555832182850	Genta U	K.H. Muwardi No. 962, Ambon  Maluku
185	CUST000185	5495024463314370	Maryanto Saptono	Jln. Mulyadi No. 830, Tidore Kepulauan 60620, Maluku Utara
186	CUST000186	4556226415428850	Vivi Diana 	Jr. Sentot Alibasa No. 972, Sukabumi Jabar
187	CUST000187	4929416019069670	Manullang Salman	Jln. Bayam No. 858, Salatiga Jawa Tengah
188	CUST000188	5162282054974500	Salahudin Jarua	Kampung madrasah no 719 blok 8 Jayapura
189	CUST000189	4929416019069670	Manullang Salman	Jln. Bayam No. 858, Salatiga Jawa Tengah
190	CUST000190	4024007105085230	Umaya Waskita	Psr. Muwardi No. 538, Tangerang Selatan 26590, Banten
191	CUST000191		Zizi Rachel Astuti M.TI.	Jr. Pasirkoja No. 644, Administrasi Jakarta Barat 
192	CUST000192	448587294808402o	Aisyah Wulandari	Psr. Bakin No. 518, Bogor 41216, BaBel
193	CUST000193	4532203651030000	Salsabila Z	Jl Bayakali Bungur Nomor 937, Tanjungbalai  Sumatera Utara
194	CUST000194	4929474264800000	DEVI	Jr. Reksoninten No. 47, Bima 66782, Lampung
195	CUST000195	5514151401442140	Vicky Hamima Wahyuni S.T.	Gg. Panjaitan No. 273, Tigaraksa 74832, Banten
196	CUST000196	4539809928850370	Kambali	Jr. Taman No. 243, Sorong 70349, Papua Barat
197	CUST000197	5258132833092430	Henri A	Jl. Taman Margasatwa No. 12, Warung Buncit, Jakarta Selatan
198	CUST000198	5234609816983540	Ellis Namaga	Jr. Wahidin No. 971, Blitar Jawa Timur
199	CUST000199	5381356793479630	Qori Mulyani	Luwu No. 577, Palopo 15116, Sulawesi Selatan
200	CUST000200	5553748373175900	Marsito Warsita Marpaung	Dk. Bata Putih No. 7, Pangkal Pinang 93618, Bangka belitung
201	CUST000201	5192407456579430	Yulia Pia Permata	
202	CUST000202	4532751137432220	I Gede Perkasa	Jl. Tukad Badung 168 C Denpasar – Bali
203	CUST000203	5156998675362530	Cahyadi Hutapea	Ds. Merdeka No. 587, Pontianak, Kalimantan Barat
204	CUST000204	5549525421263710	Ratih Rahayu Wastuti M.Kom.	Ds. Baranang No. 878, Tanjungbalai 49900, Sumatera Utara
205	CUST000205	5405425066528700	Lim Siau Po	Maluku Utara, Ternate Sentot Alibasa No 324
206	CUST000206	5110303660585720	Clara Wijayanti	Jakarta
207	CUST000207	5502285300694270	Sakti Pradana	Jln. Jaya No. 753, Payakumbuh 54480, Sumatera Barat
208	CUST000208	5414629215050580	Ghani Jagaraga	Kpg. Gedebage Selatan No. 299, Makassar 71776, SulSel
209	CUST000209	4929471179028710	Vicky Hariyah	Jalan Dahlia 47 Jambi
210	CUST000210	5211654496507300	Anita	Hang 910, Pekan baru Riau
211	CUST000211	5301831652075750	Kania Widiastuti	Kpg. Orang No. 210, Sibolga 98637, SulTra
212	CUST000212	5409162640301140	Liem Siauw Khe	Pasar Suryo Pranoto No. 905, Sungai Penuh 23413, Jambi
213	CUST000213	5264376342570320	Eman Taswir Simbolon	Jln. Eka No. 896, Palopo 98944, MalUt
214	CUST000214	4556182077267580	Vega Ardianto	Kali No. 383, Bukittinggi 91986, SulBar
215	CUST000215	5414991088771110	Iksan Suwarna	Ki. Dahlia No. 543, 25474, JaTim
216	CUST000216	5161156836370260	Hassanah, Fitriyani	Jr. Banda No. 42, Palu 91144, Sulteng
217	CUST000217	5255753891363310	Oni Yulianti	Dk. Haji No. 480, Tangerang 36130, Banten
218	CUST000218	4716483364092100	Keisha Genta Mandasari	Ds. Pelajar Pejuang 45 No. 247, Bandung 79279, DKI
219	CUST000219	5128376927778700	Opan Hutasoit	Kpg. Babakan No. 999, Malang
220	CUST000220	5502285300694270	Sakti Pradana	Jln. Jaya No. 753, Payakumbuh Sumatera Barat
221	CUST000221	4929571257922850	Damu Manullang	Jr. Bahagia  No. 990, Pangkal Pinang 72880, BaBel
222	CUST000222	4081427725150560	Gawati Wijayanti	Psr. Tubagus Ismail No. 119, Tanjung Pinang 47202, Maluku
223	CUST000223	4532472213938120	Koko Prabawa Wasita M.Ak	Gg. Gremet No. 35, Palu 29156, Kalimantan Selatan
224	CUST000224	5475021535727150	Rachel Andriani	Pasuruan, Desa Ekonomi RT 2 RW 8 Nomor 210 Jawatimur
225	CUST000225	4716866427869500	Adi	Sugeng Jeroni No.28 Yogyakarta Yogyakarta
226	CUST000226	5256915995406940	Jalindra Pratiwi	Psr. Babah No. 588, Jakarta Timur
227	CUST000227	4024007158395410	Kamal Permadi	
228	CUST000228	5549525421263710	Ratih Rahayu Wastuti M.Kom.	Ds. Baranang No. 878, Tanjungbalai 49900, Sumatera Utara
229	CUST000229	5209894339757050	Bahuwarna Mahendra	Ds. Rajawali No. 179, Pematang siantar Sumatera utara
230	CUST000230	5364133569272360	Hamzah Tasdik Megantara S.H.	Jln. Samanhudi No. 297, Malang 61901, BaBel
231	CUST000231	5594655853652760	Lidya Nurdiyanti	Pasar Gremet No. 31, Padangpanjang Sumatera Barat
232	CUST000232	4929954485070080	Unjani Puji Astuti	Jln. Sukajadi No. 311 RT 4 RW 5, Makassar
233	CUST000233	5576267396681980	Mahdi Budiyanto	Jl. Tentara Pelajar No. 658, Solok Sumatera barat
234	CUST000234	5347353885442180	Restu Pujiati	Ds. B.Agam 1 No. 779, Administrasi Jakarta Barat
235	CUST000235	5567152854342660	Hilda Puspasari	Jln. Wahidin No. 743, Langsa 87211, Aceh
236	CUST000236	4929614581019170	Ina Yuniar binti manurung	Gg. Abdul. Muis No. 691, Surakarta 97516, Jateng
237	CUST000237	52997038375273OO	Eka Nashiruddin	Pasar Tentara Pelajar No. 227, Palembang SumSel
238	CUST000238	4929954485070080	Unjani Pujiastuti	Jln. Sukajadi No. 311, Makassar
239	CUST000239	5242241754031350	Siti 	Jalan Baing No. 9, Tasikmalaya 97155, Jawa Barat
240	CUST000240	5585234814101620	Cakrawala Permadi	Jln. Laksamana No. 590, Makassar, Sulawesi Selatan
241	CUST000241	5498088515343240	I Nyoman Damar	Jl. Bisma No. 68, Ubud, Bali
242	CUST000242	5199644351019250	Pudji Aryani	
243	CUST000243	4532103651039110	Salsabila Zulaika	Jln Baya Kali Bungur No. 937, Tanjungbalai 53991, Sumatera Utara
244	CUST000244	5258132833092430	Henry Atmaja	Taman Margasatwa No. 12, Warung Buncit, Jakarta Selatan
245	CUST000245	54602413225759IO	Laila Pratiwi	Gang Rajiman No. 524, Sibolga  Sumatera Utara
246	CUST000246	6011158977332040	Asirwanda Pradana S.Gz	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
247	CUST000247	5204646680624910	Asmadi S	Perum Metro Abdullah 319 Jakbar
248	CUST000248	5391026601115900	Kania Permoto	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
249	CUST000249	4929427288465320	Oman Marbun	Basoka Raya No. 559, Administrasi Jakarta Timur
250	CUST000250	5543002542159720	R Narji Maryadi	Sunaryo No. 140, Pangkal Pinang, Bangka Belitung
251	CUST000251	4532265704299040	Perkasa	Gg. M.T. Haryono No. 998, Banjarbaru 90923, Kalimantan Selatan
252	CUST000252	531488O679274300	Devi Palastri	Jln. Bayan No. 733, Tangerang 13509, DIY
253	CUST000253	5391026601115900	Kaniya Permata	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
254	CUST000254	4929571257922850	Damu Manullang	Jalan Pangkal Pinang Bahagia 990, Bangka Belitung
255	CUST000255	5220911672812730	Violet Citra Setiadi	Kalimantan Selatan, Banjarmasin
256	CUST000256	5126480855572470	Irnanto Suryono S.I.Kom	Gg. Tubagus Ismail No. 848, Administrasi Jakarta Timur
257	CUST000257	5229527120764810	Cahya Putu Setiawan S.I.Kom	Dk. Simpang Tujuh No. 157, Prabumulih 81021, Sumatra Selatan
258	CUST000258	6011219931100860	Clara Yulianti	Desa Banceng Pondok 626, Banjarbaru, Kalimantan Selatan
259	CUST000259	4024007162691070	Maras Putra S	Raden No. 527, Pekalongan 93952, SulBar
260	CUST000260	6011234314231560	Karsa Sitorus	Ki. Abdul No. 401, Ternate Maluku Utara
261	CUST000261	5234609816983540	Ellis N	Jr. Wahidin 971, Blitar Jawa Timur
